start	end	text
378588	384947	And as it stands today, RTD pays the first $25 of the trip and the remaining portion is paid by the customer.
385830	389661	And again, ability today to take 60 total trips.
390502	392826	So just some quick operating statistics.
392966	400839	The annual operating cost in 2024 for excessive ride was just over 53 million and the customer trips were just over 500,000.
400979	410434	And again, these are RTD owned vehicles and the contractors that operate this service have over 500 drivers mechanics and other staff.
410414	415968	And then access on demand slash year it was about just over 15 3 million for the budget.
418174	423327	Just over 685,000 trips and these are all provided by third party vehicles.
425180	431508	So again, as we touched on, you must be eligible for access ride to also use access on demand.
432790	442222	There is a process that customers must go through that determines if a customer has a disabling condition that would prevent them from using a regular fixed route service.
443203	450192	There's an application process, a medical verification process, and then an in-person assessment that customers must complete.
450172	454719	And there are a couple of different types of eligibility that a customer could receive.
454899	460448	Unconditional means you can have access to the full service for up to four years.
460988	466797	Temporary, you might have a condition that's going to improve recovering from surgery or something along those lines.
467398	473708	And then conditional would be when there was something maybe you're sensitive to extreme hot or extreme cold.
474208	477934	So you would be able to use it at those times, but not the full year.
479686	485693	Okay, and as we have touched on, this is something that you've probably seen as well.
486473	490638	We are continuing to see an increase in access on demand usage.
491179	498246	This is through 2024, but we continue to see that access on demand trend line going up into the start of this year.
498266	507837	And access ride, when you look at the trend line, while it is staying a little bit more stable, we are still seeing an increase in usage there as well.
510010	518685	And as we've talked about, average monthly trips per customer, the majority of customers are falling into the category of taking up to 50 trips.
519346	523333	That is about 90% of the customers when we lasted the analysis.
523854	529183	And about 10% of the customers, again, fall into that 51 to 60 category.
531155	536401	So now I'm going to just remind everyone of what our initial recommendations were back in 2024.
536562	542409	As it stands today again quickly, there's a zero dollar base customer fare.
542449	544511	The trip cap is 60 per month.
545072	547215	Subsidy is up to $25 per trip.
548596	553382	It is available within the entire district and it is available 24 seven.
553362	568024	Back when we came to you in November of 2024, we had proposed making changes, and this involved having a $4.50 based customer fare, which would be $2.25 for our live eligible customers.
568605	571149	We proposed a trip cap of 40 per month.
572531	580703	The subsidy would go to $20 per trip, and then it was proposed to mirror both the current service area and the service hours.
582320	590960	With this recommendation, there were going to be cost savings that the district would realize, and that was going to be about 5.8 million dollars.
592323	600362	So instead of the projected yearly spend being a little bit over 15 million, we would go down to about 9.4.
604105	611537	Okay, and as a result of some of the feedback and comments that we've heard, we did put together two additional revised scenarios.
611657	615103	So scenario one is what I'm going to touch on first.
615323	619650	So this has to do with an increased trip cap approach.
619630	627746	So what we were proposing in this scenario is increasing the trip cap to 50 per month from the original 40 that was proposed.
628548	635682	We are proposing as this is again as we've said a premium supplemental service a fair of $6.50 per trip.
635662	640271	which would be $3.25 for our live customers.
641373	643718	Then the remainder of the proposal does remain the same.
643878	655662	We were still proposing a subsidy per trip of $20, and we are proposing mirroring the current service area and service hours as that of our accessoride program.
656468	671347	With this program, we did see actually a little bit of the yearly impact would be a cost savings of about $6.1 million, bringing our total spend to about a little over $9.1.
673150	682662	With the 50 trips, that does allow for customers to still have, given there's about 20 weekdays in a month,
682642	689698	That does allow for customers to still travel to work, but then does allow for some ancillary trips throughout the month.
692125	698693	And then another scenario that we had put together is the tiered approach that we have discussed.
699354	706863	With this approach, we would still maintain a trip cap of up to 60 trips per month, which matches what we have currently.
707824	713070	There would be a $4.50 based customer fare for up to 30 trips.
713050	719309	$5.50 for 31 to 50 and $6.50 for 51 to 60.
719951	723381	And the remainder of the recommendation would remain the same.
724762	743804	With this program, as some people have noted, due to kind of the program structure and some of the manual aspects that exist with monitoring today, there would be an increase in staff oversight that would result in additional staff headcount.
743824	749470	Again, that had been noted, but as it stands today, the program does require quite a bit of manual intervention.
750496	758554	There is also, as someone mentioned, the customers would need to be keeping a little bit closer track of their trips, and that could lead to confusion.
758594	765490	It is something a customer would have to be regularly thinking, where am I at for the month?
765510	769078	Have I hit that 30 trips so they know what to expect for their costs?
770898	775828	With this program, we would see some reductions of just over $5 million.
775908	780297	So it is a little bit less than some of the other recommendations that we've put forth.
780838	786669	And it would bring our projected yearly spend to about $10.28 million a year.
790497	791218	And actually,
792025	802662	So proposed next steps we are here as GM CEO Johnson has said to just kind of garner everyone's feedback and get some guidance on a path forward.
803203	810034	The intent is to do outreach and engagement in June based on some of that guidance and engage with the community.
810014	820690	We would be coming back for board consideration in July with an actual recommended action to the committee and then provided the committee advanced it at the board meeting.
820730	826319	And we would begin implementation in August with full implementation in October.
828141	830144	And with that, I will open it up.
831246	831667	Perfect.
832167	833890	Thank you very much for your presentation, Ms.
833950	834391	Vallejoz.
835332	837455	OK, I'm going to open it up for directors.
837796	838637	Second Vice Chair Whitmore.
839765	844551	Thank you for the presentation and the ease of absorbing the proposed changes.
845433	857930	Erin, looking at the second proposal, the tiered approach, one of our commenters talked about the complications of keeping up with number of trips.
858671	864118	Is that something that the new staff would be able to be
864098	889870	Clearinghouse if you will tour you have one call to RTD instead of calling a taxi and a lift and an Uber That seems to be the most difficult part of that I'm just curious if you think our staff would be handling that in a way that would be handy for our customers It's definitely something I think we could assist with but I do think there would still be some burden on the customer for having some of that responsibility and
890356	895925	Again, as I mentioned, as it stands today, there is just a very manual aspect of the program.
896466	904859	And so while we're always looking at things to improve, I do think there would still be some responsibility that would live with the customer.
907082	907723	Thank you.
909526	909986	Thank you.
910127	916273	And thank you for a very clear presentation, although I have one question of clarification.
916633	919376	You talk about mirroring the existing service area.
920657	935652	One of the things that appealed to me about this service was that, um, I don't think that the customers were restricted to the three quarter mile within a fixed route.
936391	938353	Would that change with this?
938373	943198	Any of these proposals or would it still be over the entire RTD service area?
944199	953249	As the pro the proposals are presented, we are proposing mirroring the three quarter of a mile boundary that exists today for our accessory customers.
956793	957373	Okay, that.
959976	963299	That presents some problems for me, but we can talk about that later.
963339	963900	Thank you.
966142	967204	Secretary Nicholson.
969247	970669	Thank you very much.
971731	978081	I think I first want to echo and perhaps be a little bit more direct about what Director Catlin said.
980164	985613	We have bus routes in this system that don't qualify for the ADA service, but they're bus routes anyway.
986674	989719	There are commuter routes and I
989699	998215	would not vote personally for a change that would cut off the people who live within three quarters of a mile of those routes.
998275	1004687	So at least for me, you guys want to get this through, you're going to need to change that because it's just a matter of basic equity.
1004727	1006290	Otherwise, Peggy has like
1006962	1010689	two places in our district that get service and that's just not reasonable.
1010709	1013836	There are a lot of older folks that live up in those areas.
1014818	1022052	I think the second issue that I have with what's being proposed is that the needs of
1022673	1031729	you know, not call it rural, but mountainous Jefferson County when it comes to AOD are very different than the needs of central Denver.
1032530	1042487	The trips I can get to most places that I need to go, you know, in terms of grocery stores, medical, et cetera, in a $15 Uber.
1042467	1051493	You know, I don't think there's anywhere that you can get to for 15 bucks in Peggy's district or yours exactly.
1051513	1053017	And so.
1053638	1058545	But creating a system where the trip cap is 40 bucks doesn't work for me.
1058665	1064074	Creating a trip cap where it's 15 bucks doesn't work for the people in her district.
1064154	1075811	It strikes me that the right approach would be to have different levels of financial cap and different levels of trip cap to go along with them and let people pick.
1075931	1077874	You want 60 trips at
1078090	1079212	$15 per.
1079673	1079914	Great.
1079974	1082539	You want 50 trips at $20 per.
1082679	1082900	Great.
1082960	1085906	You want 40 trips at $30 per.
1086266	1086507	Great.
1086567	1087669	Depends on where you live.
1087689	1089633	Depends on the types of trips you're going to be taking.
1089693	1099693	But making people all fit into one size is either going to leave her people paying $20 for every single trip that they take.
1099673	1108772	or it's going to put people in my district in a reduced number of rides because very few trips are going to cost $20 or $25.
1109032	1111076	So those are my two pieces of feedback.
1111096	1111397	Thank you.
1113581	1114363	Thank you, Secretary.
1115165	1115826	Director Ruscha.
1120480	1121161	Thank you, Mr. Chair.
1122322	1126726	So I just wanted to offer a bit of context.
1126887	1131792	And the general manager, please interrupt me if I'm framing this wrong.
1132172	1138459	But the conversation that we're having tonight is a framework of a potential path forward.
1139139	1145526	And because of our OSS meeting went so long,
1145506	1152034	we weren't able to get to through the discussion and that also I think impacted our ability to have some interim discussions.
1152074	1175344	So I just want folks to you know keep keep an open mind to what staff is saying and definitely share that feedback because we're on a timeline but also just recognize that well and please if I'm saying the strong introduction but what is being presented is a concept framework and so we want so we'll get more feedback and then of course staff is going to be working very closely
1175662	1183093	with our existing customers and advocacy organizations to make further refinements and give us some more stuff to look at.
1183154	1190285	So I hope I didn't speak out of turn, but I just wanted to offer that for context.
1191026	1203525	And I'm also listening and taking notes and I know staff is, so I would just urge if anyone has thoughts one way or another, please share them tonight since we are also on
1203809	1207758	timeline with our existing partners and those contracts as well.
1207798	1208159	Thank you.
1209281	1209923	Thank you, Director.
1210724	1211406	Director Larson.
1215054	1215495	Thank you.
1215595	1217940	I just have a question for Ms.
1217980	1218441	Vallejos.
1219744	1223252	So I saw I seen one of those slot these slides that it says there's
1223536	1232065	In December of 2024, there were about 2,900 total active customers of access on demand.
1233127	1238292	So there were 2,900 people, roughly, who used it in all of December.
1239073	1239574	Is that right?
1240915	1243518	I know that would be for the year, I believe.
1244599	1245280	Let me just.
1245420	1245941	OK.
1245961	1250946	So 2,900 people used this service for the whole year.
1251227	1251687	That's it.
1252578	1265271	And so I guess what I'm trying to just understand is, if we were going to spend, say, $10 million or $15 million on 2,900 people,
1265740	1270807	What do we think the equivalent is for just our regular riders?
1271107	1272048	Do we have any guess?
1272669	1275032	I mean, I know people have different ridership.
1275072	1289430	If we have a million customers a year and it's the majority of our budget, I'm just trying to get a sense of how the per-person spend for a regular rider compares to the per-person spend for access on demand.
1291713	1293756	Go ahead, Deborah.
1295542	1299048	So if I can, Mr. Chair, and thank you, Director Larsen, for the question.
1299309	1301753	I would not want us to conjecture and speculate.
1301814	1303617	We could double back and give you those numbers.
1304519	1310249	As we talk about, you use the term regular writer, you're talking about those that are using fixed route service.
1310269	1313415	I just want to be clear and intentional with the language we're using going forward.
1313395	1322188	So we need to assess that because it's a different level of service because with fixed route bus, we're not providing curb to curb service.
1322528	1326454	And so we can double back and share that information with the board.
1327395	1331521	But I think it wouldn't be fruitful for us to guesstimate because this is critically important.
1331882	1337390	But as we come back and we have some guidance, we could provide that detailed information, if you will.
1337790	1338131	Thank you.
1340113	1341175	Thank you.
1342505	1344588	Any other directors comments?
1344608	1345409	Yeah, director Guzman.
1346351	1353882	So I am concerned with the aligning with the ADA for the service area.
1356365	1360311	District C is fairly blessed with
1360713	1369686	multiple forms of transit and fixed route, where this is not a particular problem, but it is an issue in the suburban areas of the region.
1370127	1383767	And it is highly concerning that we would restrict it so much where people would be left off of the system that live within a quarter mile of a commuter bus and still not be able to access this.
1386262	1398596	I also think that as we proceed into the future after the demographers presentation to the finance and planning committee, a big concern will be our aging population in the region.
1399478	1404624	And it's a, you know, somebody said that this is a drop in the bucket for our budget.
1405845	1416117	Maybe right now, but eventually this is going to catch up with us, which is why we're having this conversation and access on demand and folks that are able to
1416451	1430934	or out of need, utilize this system, need to be considered as humans first and how we serve them, which is our mission, right?
1430954	1432637	They need connection as well.
1433107	1446549	and not every one of them will be able to jump from a, jump, roll, walk, shuffle to a fixed route form of transportation to get them to their destinations.
1447511	1454081	I have a question about the time on this, right?
1454542	1459350	If it's mirroring regular service provision for the whole region,
1460579	1468370	It kind of makes sense, but I would still be concerned for the reasons that emergencies don't happen on RTD schedule.
1469371	1478384	And so somebody who already has a specific need for this type of transportation usage might need to go to the doctor.
1478924	1481608	And what do they do if they're unable to drive?
1482128	1492688	And regular bus service is not something that they can use because the buses aren't running a two o'clock in the morning emergency room visit is not unheard of and not uncommon in anybody's life.
1493249	1496014	And yet what do we do to take care of those that are most vulnerable.
1497397	1500643	So for me, I would really want to see some clarity around
1501028	1502050	those two areas.
1503191	1508700	I am frankly less concerned about minimal difference of cost savings.
1509621	1512145	I mean, we're talking $5 million.
1512185	1518295	That's not really the top priority for me on that part.
1518680	1543557	right now it will eventually get there because this will likely continue to grow but I do want to make sure that we are basing ourselves in reality to serve the taxpayers needs and this is a need right this is not a desire as some of the other services we want to grow and create are this one is an actual need and so I want to be clear in my language on that and why I'm
1544566	1546914	depositing these comments within that framework.
1547255	1548479	So that would be my feedback.
1548499	1552994	I'd like to see something a little bit different on those two things, the service area and the time for service.
1553175	1553476	Thank you.
1554058	1554760	Thank you, Director.
1555443	1556145	Director Harwick.
1557138	1559422	Well, thank you, Director Guzman.
1559442	1561746	I'm just going to pretty much replicate everything you just said.
1561766	1571162	I represent Arvada, and Arvada is actually the fastest growing aging population.
1571362	1572564	However, I said that.
1572645	1573506	I'm not sure I said it right.
1574167	1579637	And a lot of our service is not in the areas where we have those aging people.
1580198	1582842	So I'd really like to see
1583395	1585438	just the boundary kept the same.
1585558	1590484	I'm also really again with director Guzman keeping it as a full 24 seven.
1590504	1606905	I just like I have a friend in a wheelchair and I just think about her trying like if she didn't live where she lived if she lived where I live she would have such a difficult time getting you know around her community and I won't just
1607408	1612899	especially like if the service is outside of that time period, it's just precluding her life.
1612959	1624101	And I know we don't all have these, the same abilities when we're riding the bus, but for a person with disability that's blind or in a wheelchair, I think that we can sort of extend them the grace that they deserve.
1625009	1627453	I also would like to see the cap stay at 60.
1627613	1640816	I think that, again, I know that it's a, you know, less than 10% of the population go above the 50 rides, but I think it's still like that's, we're giving them access to a free and full life.
1641878	1650072	And I think if we are gonna go with the 650, I think that that to me is fine, but I also think that it would be imperative that we really,
1650052	1677561	put out the live program and let let those writers know That there is another option like there's always with someone the other day she Lives about three miles away from where she works and you know She can afford it, but just barely and she didn't know about the live program So I think that there's we're missing an opportunity there specifically with these With these writers so and then my last one is just a request is it possible to get a map of
1677541	1692317	like sort of like a density map of where AOD is like highly being used to sort of go with that, like thinking about, you know, West Jefferson County versus central Denver, just kind of see what that looks like.
1692417	1699605	Obviously we want to anonymize the data, but I think it's sort of just would be interesting for us to know where the sort of hotspots of usage are.
1699645	1700906	Thank you.
1700946	1701667	Thank you, Director Harwick.
1701867	1702028	Ms.
1702048	1702468	Johnson.
1703478	1721897	Yes, Director Harwick, if I understood you correctly, because I'm taking copious notes here, you are in support for all intents and purposes of what I hear, the modification of scenario one, keeping it at 60 trips with 650 and then one information relative to what the current usage is from a geographic vantage point.
1722397	1723178	Okay, thank you.
1724439	1725060	Thank you.
1725080	1729144	Yeah, but I also want to keep the service areas the same as they are today.
1729664	1731967	Yeah.
1731987	1732287	Excellent.
1733549	1735493	Director Nicholson, then Director Ruscha.
1737036	1740702	Yeah, just a quick follow-up onto that.
1741684	1749058	When it comes to go to Director Ruscha, my brain, I lost my train of thought for a second, so.
1750341	1751102	Alright, Director Ruscha.
1755908	1757110	Thank you for the red rover.
1757171	1757972	I wasn't prepared.
1757992	1758874	I went back to my notes.
1759375	1759796	Okay.
1759816	1774305	So, um, anyway, I, um, so I, some of this, um, feedback I did share with staff and I, um, I don't want to be repetitive, but I also just want to be really transparent with my, my colleagues, uh, because we haven't had this public conversation yet.
1774758	1792084	And just high level, some of the things that I had shared was, you know, first of all, we don't want to put one proposal out before the community and get feedback like the one that we've had out for several months and then come back with something else that looks like less than what we originally proposed.
1792185	1795129	And so one of the pain points that I had was just the idea of
1795430	1799337	going up to 650 for the initial fare because that's not what we originally put out there.
1799678	1810558	So one of the things that I urge is that if we put an offer on the table, so to speak, we don't take it back.
1810958	1812601	That's kind of our baseline now.
1813363	1818552	And another piece of feedback I had is that where something is not
1820337	1832897	For every change we make, which essentially results in a reduction of a service of some kind or an increase in price, we really have to justify that line by line.
1833277	1841731	So for example, if we decide that we are going to strictly align with service hours, then we have to justify it.
1841891	1843233	It doesn't cost us any more money.
1843393	1844415	It's not going to save us a penny.
1844856	1848201	If somebody, you know, uses on demand,
1849008	1853458	15 or 20 minutes or an hour before fixed drought starts.
1855102	1860013	Likewise, it's not costing us that I could see a lot of money, if any.
1860415	1864880	for us to offer service outside of our general service area.
1865961	1868864	I know that was flagged in the peer review.
1869184	1888164	So I, because this idea has been on the table for so many months, I also want to caution us about the service area idea because if we restrict the service, that means there are people who currently are using AOD and they're going to lose it.
1888885	1889325	So
1890267	1900961	I, um, so that was just, I mean, that was just the, the kind of like high level, like, um, theme that I had in, in the feedback.
1901602	1914840	Um, and also, you know, I'm going back to the, uh, initial like a fair, um, we also want to be really careful about what we think.
1915192	1918378	is inexpensive because it's really relative.
1918418	1937892	So for some folks using the service and they have like a fixed income or very limited income, if we even do you know 450 which would be parity with excess ride and I think I could accept that but like say we go up to 650 or we do this tiered system
1938445	1946853	then for some folks, they are not going to be able to write or they're going to be choosing, do I get to the doctor or do I buy food for tonight?
1947013	1950717	So I just wanted to put that out there.
1951117	1960907	And finally, well, actually, I'll stop there.
1960927	1968334	I concurred with what a lot of other directors said in terms of keeping the program as is as much as we can.
1969023	1981228	I think that, but I also just want to commend staff, you know, because we are at a much different place than where we were several months ago.
1981869	1983673	This is a totally different conversation.
1984396	1985957	really slashing this program.
1986738	1992203	And staff did a lot of work and we spent several months, we almost voted on this a few months ago.
1992243	2001110	And they listened to us as directors and they listened to community because as you know, we've had hundreds of public comments over several months on this.
2001751	2009618	And they said, okay, we can take a timeout, we can reassess, we can get some different data, we can, you know, kind of present a new paradigm.
2009638	2013441	So again, what's before us today is a sketch of ideas, the feedback is good.
2013691	2018728	But I really do want to commend staff for listening and working with us in partnership.
2018748	2019671	So thank you.
2019691	2021076	And thank you.
2022280	2023143	Thank you, Director Ruscha.
2023323	2024046	Director Nicholson.
2025431	2026755	Thank you.
2028119	2042977	Is there any step during enrollment of AAR and AOD where we ask people if they are enrolled in the live program and ask them, hey, we're taking 14 other pieces of documentation from you.
2042997	2046982	I mean, AAR is remarkably complicated to sign up for.
2047723	2053911	Is there any part of that process where we try to enroll them in the live program as well?
2053951	2055072	And then I have a quick follow up.
2059844	2062427	I will have to find out about that as part of the process.
2062828	2067734	Um, and we will confirm if that is, you know, how that is handled as, as part of the process.
2068855	2069075	Yeah.
2069155	2079448	So, yeah, as a, as a first thing I would say that since we're going to be updating this to offer the, the live discount and, and not make it free, uh, it should be required as part of the process.
2079508	2087978	If you're going through to sign up for AOD or AAR, some point in that process to set, to ask someone to affirm that they are either already signed up or,
2088228	2092593	haven't signed up or whatever, and then give them the opportunity to make it super easy.
2092653	2099220	Because we only have 15,000 people signed up for live right now, and we have 180 something thousand boardings every day.
2099340	2105888	And I think only about half the people in AOD are currently signed up for, or AAR currently signed up for live.
2105908	2108291	So definitely something I'd like to see there.
2108331	2117661	The second thing, I want to echo what Director Ruscha said about the effect on people who
2118215	2134300	are low income to having these fares, but I want to take it from the other side, which is if you don't have a lot of money and you need to get around to a lot of places, then 40 trips maybe, or whatever the number ends up being, not nearly enough in a way that someone who makes more money
2134280	2137643	can probably have some discretionary to be like, oh, I've run out of trips.
2137723	2140966	I can afford to take an extra three or five or whatever.
2140986	2145110	So I'm not sure that that needs to be fit into the policy here.
2145170	2147712	I'm wary about trying to do too much too quickly.
2148033	2158522	But I do think we need to get a report from you after, I don't know, six months a year that looks at how many trips are people on live using?
2158763	2159744	Are they maxing out?
2160184	2162346	Or are we seeing sort of the same curve?
2162326	2175021	from live users as we do from regular users right now, and that might inform us to take action a year from now to try to offer the right service for people who need it.
2175062	2177104	Some live people make decent incomes.
2177284	2184653	Some of them are literally broke, and we need to recognize that those two groups of people have very different lived experiences.
2185374	2186215	Thank you, Secretary.
2186315	2186475	Ms.
2186515	2186856	Johnson?
2187236	2190240	Yes, thank you very much, Director Nicholson.
2190372	2193095	Mr. Chair, thank you, Director Nicholson, for the comments.
2193555	2210174	And what I will say in reference to your request, it appeared to be a directive, but I would just offer this up to you that once we collectively agree upon the path forward in this Board acts, we can then assess what might be most prudent, because at this point in time, we don't know what we don't know.
2210194	2215980	And relative to what you just asked, I can't commit to that without knowing what we intend to do.
2216140	2217882	So I just had to say that for the record.
2218081	2219102	because it seemed as if Ms.
2219162	2222767	Baleos was giving direction, and I don't think that's appropriate at this juncture.
2223067	2223527	Thank you.
2225009	2225330	Thank you.
2225350	2225410	Ms.
2225430	2226010	Director Larson.
2227752	2228193	Thank you.
2228213	2234761	I was just kind of doing some stuff on my calculator.
2234881	2245253	And so if we only have 3,000 people who use excess on demand, I mean, it seems like the disabled population
2245570	2251456	You know, it might be 300,000 people in Denver or something, you know, much, much larger.
2252937	2259504	Do we, how do, how confident are we of our projection that it'll stay at around, I mean, or, or however much we think it'll increase?
2259524	2271055	I mean, what do we think the total number of active users might become and why won't it become, you know, several, many multiples more than 3,000 or so?
2276671	2285481	First, if I may, just for everyone's identification, you probably have heard this over the course of several months in the public comment discussions.
2286182	2301379	When we talk about access on demand, currently as it's configured, recognizing that we're using private entities, transportation network companies in particular, not all of the vehicles are outfitted to be wheelchair accessible.
2301646	2309435	So that's a critical element when we're talking about the population because there's different disabilities that individuals have.
2309515	2316404	Some may have cognitive, somebody may be using a mobility device, which can't be accommodated going forward.
2316424	2319347	So I just wanted to provide that context prior to Ms.
2319367	2324233	Vallejo's answering the question because that has not been factored into this conversation this evening.
2324253	2325655	And I believe it's a germane point.
2327677	2328278	Thank you, Director.
2328781	2333165	And I don't think I need to add anything that was really exactly what I was going to say.
2333225	2338851	Not everyone is able to use the access on demand service that is eligible for excessive ride.
2339251	2340633	Other is a difference there.
2341293	2342214	Can I just follow up?
2342234	2349161	But I mean, surely many more people than 3000 in the metro area would be eligible though.
2350682	2355447	Well, and again, we have continued continue to see substantial growth.
2355865	2360290	in the number of customers that are beginning to use the service.
2360751	2367620	Again, the trips that we are seeing continue to grow even into this year, so we are seeing quite significant growth still.
2370763	2371084	Thank you.
2371264	2371584	Thank you.
2372385	2372686	Thank you.
2373927	2375389	Any further questions, comments?
2377632	2377812	Ms.
2377872	2378613	Johnson and Ms.
2378633	2380636	Vallejoz, thank you very much for the presentation.
2380676	2382959	I hope this was helpful feedback for going forward.
2383419	2384100	So thank you.
2384722	2385824	Yes, thank you, Mr. Chair.
2385864	2388708	This was in the sense that we do have some guidance now.
2388748	2391733	We know what we need to do as we do further outreach.
2391773	2394156	So thank you all very much for the opportunity.
2394677	2404352	And when we come back in July with a recommended action, hopefully we can all rally around that, recognizing the public comments that we heard in the direction in which you provide it.
2404372	2404732	Thank you.
2405013	2405313	Thank you.
2405814	2406395	Director Guzman.
2406795	2410181	Will that recommended action be going through operation safety and security?
2411923	2412063	Ms.
2412103	2412484	Johnson.
2412785	2414751	Yes, thank you very much, Mr. Chair.
2414811	2417318	And thank you, Director Guzman.
2417599	2419706	I apologize for the question.
2420006	2422614	Most definitely we will go through the committee procedure.
2422634	2425282	The only reason why this didn't happen because it's time sensitive.
2425703	2426305	So thank you.
2426977	2427678	Thank you very much.
2428899	2429220	All right.
2429300	2430381	Well, thank you again, Ms.
2430421	2430862	Filaios.
2431823	2432104	All right.
2432384	2432925	Moving on.
2432985	2435268	Thank you, directors, for the questions and conversations.
2435568	2441716	We're going to be moving to our committee reports, not, not to be the, the time police or anything.
2441756	2445201	We are at 8 31 PM and we've been going at this since 3 30.
2445761	2449486	If committee reports could be less than a minute, that'd be greatly appreciated.
2450107	2452270	Audit committee chair music.
2452290	2453271	What would you like to share?
2454213	2455014	Thank you, Mr. Chair.
2455054	2456676	We did not meet in April or May.
2456716	2458518	Our next meeting is June 12, 2025.
2459098	2460200	That concludes my report.
2460580	2461281	Thank you.
2461301	2461981	Thank you very much.
2463944	2466386	Finance and Planning Committee Report, Committee Chair Guzman.
2466807	2467467	Thank you, Mr. Chair.
2468669	2476217	The Finance and Planning Committee met Tuesday, May 13th, discussed a handful of items, received a report from our state demographer, which was really awesome.
2476958	2483545	Directors are reminded to email the board office if you had any follow-up questions or things specific to your sub-district so we can send that all at once.
2483660	2485122	to receive an answer to the whole board.
2485823	2494014	Received an update from DOTI for the East Colfax BRT and three items came out of committee, which will be before us tonight.
2495776	2507071	Just want to thank the committee for all of the hard work and the next meeting for the finance and planning committee is scheduled for Tuesday, June 10th at 5.30 PM.
2507212	2507592	Thank you.
2508652	2509316	Thank you, Director.
