start	end	speaker	text	keep
247.815	251.099	Julien Bouquet	Thank you, Madelyn. I have Connor Shea as our next speaker.	
251.179	253.842	Connor Shea	Good evening, Board. My name is Connor Shea and I live in the Baker neighborhood of	
253.902	257.526	Julien Bouquet	Thank you for your comments, sir. I will now move to online participants, Mr. Kroll,	
257.727	258.087	Jack Kroll	Yes. At this time, we have a number of folks with their hands raised. The first is former RTD	
276.95	278.712	Julien Bouquet	Ms. Folska.	
279.333	280.155	Jack Kroll	So, Ms. Folska, it looks like you briefly came off mute and then went right back on. You are	
280.415	288.126	Claudia Folska	Whew. This is a huge achievement, guys. Oh, God. I was so thrilled to hear the earlier	
288.707	292.171	Julien Bouquet	Of course.	
292.231	296.798	Claudia Folska	Thank you very much. I appreciate that. So I was reflecting on my early days on the	
297.118	300.443	Julien Bouquet	Former Director Folska, if you could wrap up your comments. You're about double the	
300.423	308.458	Claudia Folska	OK. I appreciate it. Thank you. I think that's it. So I would encourage you, sign the IGA.	
308.692	308.912	Julien Bouquet	Thank you, Former Director Folska. Mr. Kroll, our next participant.	
308.952	312.037	Jack Kroll	Yes. next We have Former Director Doug Tisdale.	
312.057	312.799	Julien Bouquet	Former Director Tisdale. You're recognized.	
312.819	313.4	Doug Tisdale	Thank you very much. I appreciate the opportunity to visit with you this evening. I am	
313.44	314.281	Julien Bouquet	Thank you, Former Director Tisdale Mr. Kroll, our next speaker.	
314.301	326.481	Jack Kroll	Yes. Next we have Maitri Lazaroff.	
326.681	333.332	Maitri Lazaroff	Hello. I'm Maitri Lazaroff, and I am not here to talk about Northwest Rail. I am an RTD	
333.312	336.42	Julien Bouquet	Thank you, Maitri. Mr. Kroll, our next speaker.	
336.48	349.212	Jack Kroll	Yes. Next, we have Richard Bamber.	
349.192	355.84	Julien Bouquet	Richard, you're recognized.	
356.781	361.547	Richard Bamber	Good evening, and thank you for the opportunity to speak tonight. I'd like to talk about	
362.308	366.093	Julien Bouquet	Thank you for your comments, Richard. Our next speaker, Mr. Kroll?	
366.794	378.608	Jack Kroll	Yes, next is Jo Elizabeth Pinto.	
378.588	384.947	Julien Bouquet	Jo, you are recognized.	
385.83	389.661	Jo Elizabeth Pinto	Am I unmuted?	
390.502	392.826	Jack Kroll	We hear you, Jo.	
392.966	400.839	Jo Elizabeth Pinto	Thank you. I would like to talk quickly about two issues. The first is the Rockies	
400.979	410.434	Julien Bouquet	Jo, if you could wrap up your comments. You're about 10 seconds over.	
410.414	415.968	Jo Elizabeth Pinto	OK. Thank you. The other thing is remember that these people with disabilities	
418.174	423.327	Julien Bouquet	Thank you for your comments, Jo. Our next speaker, Mr. Kroll?	
425.18	431.508	Jack Kroll	Yes. Next we have Tim Keenan.	
432.79	442.222	Julien Bouquet	Tim, you're recognized.	
443.203	450.192	Jack Kroll	Tim? Looks like--	
450.172	454.719	Tim Keenan	Can you hear me now?	
454.899	460.448	Julien Bouquet	We can hear you, Tim. Thank you.	
460.988	466.797	Tim Keenan	Alrighty. I'm Tim Keenan. Thanks for listening. I am a totally blind user of Access-a-Ride. I'm	
467.398	473.708	Julien Bouquet	Tim, if you could wrap up your comments.	
474.208	477.934	Tim Keenan	All set. Thank you very much.	
479.686	485.693	Julien Bouquet	Thank you for your comments, Tim. For the sake of the record, I'd like to note that	
486.473	490.638	Jack Kroll	Yes. Next we have Nate Trela.	
491.179	498.246	Julien Bouquet	Nate, you're recognized.	
498.266	507.837	Nate Trela	Yeah. Hi. This is Nate Trela. Thank you once again for the chance to speak. Hopefully we're	
510.01	518.685	Julien Bouquet	Nate, if you could wrap up your comments.	
519.346	523.333	Nate Trela	Sure. Sure. Just saying that the cutback of the hours is going to be incredibly complex to	
523.854	529.183	Julien Bouquet	Thank you, Nate. Our next speaker, Mr. Kroll.	
531.155	536.401	Jack Kroll	Yes. Next we have Cody Bair.	
536.562	542.409	Julien Bouquet	Cody, you're recognized.	
542.449	544.511	Cody Bair	Good evening and thank you RTD Board. I am also here to talk about Access-a-Ride--	
545.072	547.215	Julien Bouquet	Thank you for your comments, Cody. Mr. Kroll, our next speaker.	
548.596	553.382	Jack Kroll	Yes. The last speaker we have in the queue is Maryann Migliorelli.	
553.362	568.024	Julien Bouquet	Maryann, you're recognized.	
568.605	571.149	Maryann Migliorelli	Good evening, ladies and gentlemen. Thank you so much for your time and	
572.531	580.703	Julien Bouquet	Thank you for your comments, Maryann. Are there any members of the public who	
582.32	590.96	Jack Kroll	No further online participants.	
592.323	600.362	Julien Bouquet	Any members of the public who would like to make comments? Feel free to come up	
604.105	611.537	Jack Kroll	There were a number. I am not going to go through all 46 and read the names. However,	
611.657	615.103	Julien Bouquet	Thank you, Mr. Kroll. With no other participants in the queue, we will now close public	
615.323	619.65	Debra Johnson	Thank you very much, Mr. Chair. Good afternoon or evening, Board members. Debra	
619.63	627.746	Erin Vallejos	It's been a while since I've used these microphones. Good evening, everyone. As	
628.548	635.682	Julien Bouquet	Ms. Vallejos, before, could you speak a little closer to the microphone?	
635.662	640.271	Erin Vallejos	Yes, I can.	
641.373	643.718	Julien Bouquet	Thank you so much.	
643.878	655.662	Erin Vallejos	Of course. OK, so just to highlight on this, again, as GM/CEO Johnson said. Access-a-	
656.468	671.347	Julien Bouquet	Perfect. Thank you very much for your presentation, Ms. Vallejos. OK. I'm going to	
673.15	682.662	Troy Whitmore	Thank you for the presentation and the ease of absorbing the proposed changes. Erin,	
682.642	689.698	Erin Vallejos	It's definitely something I think we could assist with, but I do think there would still be	
692.125	698.693	Julien Bouquet	Thank you. Director Catlin.	
699.354	706.863	Peggy Catlin	Thank you. And thank you for a very clear presentation. Although I have one question of	
707.824	713.07	Erin Vallejos	As the proposals are presented, we are proposing mirroring the 3/4 of a mile boundary	
713.05	719.309	Peggy Catlin	That presents some problems for me, but we can talk about that later. Thank you.	
719.951	723.381	Julien Bouquet	OK. Secretary Nicholson.	
724.762	743.804	Chris Nicholson	Thank you very much. I think I first want to echo and perhaps be a little bit more	
743.824	749.47	Julien Bouquet	Thank you, Secretary. Director Ruscha.	
750.496	758.554	Joyann Ruscha	Thank you, Mr. Chair. So I just wanted to offer a bit of context. And the General	
758.594	765.49	Julien Bouquet	Thank you, Director. Director Larsen.	
765.51	769.078	Matt Larsen	Thank you. I just have a question for Ms. Vallejos. So I seen one of these slides that it	
770.898	775.828	Erin Vallejos	No, that would be for the year, I believe. Let me--	
775.908	780.297	Matt Larsen	As of. OK. As of. So 2,900 people used this service for the whole year. That's it? And so I	
780.838	786.669	Erin Vallejos	And I-- go ahead, Debra. Oh.	
790.497	791.218	Debra Johnson	So if I can, Mr. Chair, and thank you, Director Larsen, for the question. I would not	
792.025	802.662	Julien Bouquet	Thank you. Any other Directors, comments? Yeah, Director Guzman.	
803.203	810.034	Michael Guzman	I am concerned with the aligning with the ADA for the service area. District C is fairly	
810.014	820.69	Julien Bouquet	Thank you, Director. Director Harwick.	
820.73	826.319	Ian Harwick	Well, thank you, Director Guzman. I'm just going to pretty much replicate everything you	
828.141	830.144	Julien Bouquet	Thank you, Director Harwick. Ms. Johnson.	
831.246	831.667	Debra Johnson	Yes. Director Harwick, if I understood you correctly, because I'm taking copious notes	
832.167	833.89	Julien Bouquet	Thank you.	
833.95	834.391	Ian Harwick	Yeah, but I also want to keep the service areas the same as they are today. Yeah.	
835.332	837.455	Julien Bouquet	Excellent. Director Nicholson, then Director Ruscha.	
837.796	838.637	Chris Nicholson	Yeah, just a quick follow up onto that. When it comes to-- go to Director Ruscha. My	
839.765	844.551	Julien Bouquet	All right. Director Ruscha.	
845.433	857.93	Joyann Ruscha	Thank you for the Red Rover. I wasn't prepared. I went back to my notes. OK. So	
858.671	864.118	Julien Bouquet	Thank you, Director Ruscha. Director Nicholson.	
864.098	889.87	Chris Nicholson	Thank you. Is there any step during enrollment of AAR and AOD where we ask	
890.356	895.925	Erin Vallejos	I will have to find out about that as part of the process, and we will confirm if that is how	
896.466	904.859	Chris Nicholson	Yeah. So yeah, as a first thing, I would say that since we're going to be updating this	
907.082	907.723	Julien Bouquet	Thank you, Secretary. Ms. Johnson.	
909.526	909.986	Debra Johnson	Yes, thank you very much, Director Nicholson. Thank you, Mr. Chair. Thank you,	
910.127	916.273	Julien Bouquet	Thank you. Director Larsen.	
916.633	919.376	Matt Larsen	Thank you. I was just kind of doing some stuff on my calculator. So if we only have 3,000	
920.657	935.652	Debra Johnson	First, if I may. Just for everyone's edification, probably you have heard this over the	
936.391	938.353	Julien Bouquet	Thank you, Director.	
938.373	943.198	Erin Vallejos	And I don't think I need to add anything. That was really exactly what I was going to say.	
944.199	953.249	Matt Larsen	Can I just follow up? But I mean, surely many more people than 3,000 in the metro area	
956.793	957.373	Erin Vallejos	Well, and again, we have continued to see substantial growth in the number of customers	
959.976	963.299	Julien Bouquet	Thank you.	
963.339	963.9	Matt Larsen	Thank you.	
966.142	967.204	Julien Bouquet	Thank you. Any further questions, comments? Ms. Johnson and Ms. Vallejos, thank	
969.247	970.669	Debra Johnson	Yes. Thank you, Mr. Chair. This was in the sense that we do have some guidance.	
971.731	978.081	Julien Bouquet	Thank you. Director Guzman.	
980.164	985.613	Michael Guzman	Will that recommended action be going through Operation Safety and Security.	
986.674	989.719	Julien Bouquet	Ms. Johnson.	
989.699	998.215	Debra Johnson	"Yes. Thank you very much, Mr. Chair. And thank you, Director ""Guz-min--"" Guzman,"	
998.275	1004.687	Julien Bouquet	Thank you very much. All right. Well, thank you again, Ms. Vallejos. All right, moving	
1004.727	1006.29	Vince Buzek	Thank you, Mr. Chair. We did not meet in April or May. Our next meeting is June 12, 2025.	
1006.962	1010.689	Julien Bouquet	Thank you very much. Finance and Planning Committee report. Committee Chair	
1010.709	1013.836	Michael Guzman	Thank you, Mr. Chair. The Finance Planning Committee met Tuesday, May 13,	
1014.818	1022.052	Julien Bouquet	Thank you, Director . Committee Chair Ruscha or Committee Chair Harwick, what	
1022.673	1031.729	Joyann Ruscha	I'll take it, sir. Thank you. So we met remotely on Wednesday, May 14. We gaveled in	
1032.53	1042.487	Julien Bouquet	Thank you, Committee Chair. Now to for Performance Committee Chair Guzman.	
1042.467	1051.493	Michael Guzman	I got it. Thank you, Mr. Chair. Performance committee met Monday, May 12, 2025. I,	
1051.513	1053.017	Julien Bouquet	Thank you, Committee Chair Guzman. All right, moving on. We're going to do the	
1053.638	1058.545	Michael Guzman	So moved. Guzman.	
1058.665	1064.074	Julien Bouquet	Mover, Guzman.	
1064.154	1075.811	Joyann Ruscha	Second.	
1075.931	1077.874	Chris Gutschenritter	Second.	
1078.09	1079.212	Julien Bouquet	I'm going to give it to Gutschenritter. So I heard Director Guzman as the mover and	
1079.673	1079.914	Chris Nicholson	Did you want to remind everybody about the survey we sent you?	
1079.974	1082.539	Julien Bouquet	Of course. Thank you. And of course, Directors, you'll see in my weekly biweekly	
1082.679	1082.9	Debra Johnson	Thank you very much, Mr. Chair. And to recognize the lateness of the hour, I just have	
1082.96	1085.906	Julien Bouquet	Thank you, GM/CEO Johnson. Any comments or questions for GM/CEO Johnson?	
1086.266	1086.507	Chris Nicholson	Just [INAUDIBLE].	
1086.567	1087.669	Julien Bouquet	Yeah. Very exciting. And Kelly, welcome to the team. Thank you. All right. Moving on.	
1087.689	1089.633	Chris Nicholson	The Allied Universal security contract. Please pull that.	
1089.693	1099.693	Julien Bouquet	OK. So item B will be removed and placed into recommended action Excuse me.	
1099.673	1108.772	Troy Whitmore	I would move to approve the remainder of the unanimous consent agenda.	
1109.032	1111.076	Joyann Ruscha	Second.	
1111.096	1111.397	Julien Bouquet	OK. I have Whitmore and then Ruscha as a second. Are there-- OK. So this is item A	
1113.581	1114.363	Chris Nicholson	So moved.	
1115.165	1115.826	Julien Bouquet	OK, Nicholson. And a second. And Ruscha. All right. Any discussion? Director	
1120.48	1121.161	Chris Nicholson	Yeah. So I just have a quick question about this one that came from a constituent.	
1122.322	1126.726	Julien Bouquet	Ms. Johnson.	
1126.887	1131.792	Debra Johnson	Yes, I will yield the floor to Chief Martingano, who can address that question. Thank	
1132.172	1138.459	Julien Bouquet	Chief Martingano.	
1139.139	1145.526	Steve Martingano	I am trying to figure out. Oh, there we go. Turned green. Chair, for me?	
1145.506	1152.034	Julien Bouquet	Yes.	
1152.074	1175.344	Steve Martingano	Yeah, so technically, in regards to how many Allied personnel, it's an hourly	
1175.662	1183.093	Julien Bouquet	Thank you. Secretary.	
1183.154	1190.285	Chris Nicholson	This is for GM/CEO Johnson. Are there any plans in place or-- and please feel free	
1191.026	1203.525	Julien Bouquet	Ms. Johnson.	
1203.809	1207.758	Debra Johnson	Yes. Thank you very much for the question. As Chief indicated, this is a contract	
1207.798	1208.159	Julien Bouquet	Secretary. Perfect. Second Vice Chair Whitmore.	
1209.281	1209.923	Troy Whitmore	So, Chief, jog my memory on our goal for the end of the year for sworn officers. It's not	
1210.724	1211.406	Julien Bouquet	Chief Martingano.	
1215.054	1215.495	Steve Martingano	Yeah. So we are budgeted for 150. We're still in the process of growing to those	
1215.595	1217.94	Troy Whitmore	All right. Thank you very much. I did have the right memory up here. Thank you, Mr.	
1217.98	1218.441	Julien Bouquet	Absolutely. Any other-- well, any further questions or discussions on this? Yeah,	
1219.744	1223.252	Joyann Ruscha	Thank you, sir. So I just wanted to note, in the past, upon request, the agency has	
1223.536	1232.065	Julien Bouquet	Thank you, Director. Any further comments or questions? OK. Seeing none. So I did	
1233.127	1238.292	Chris Nicholson	Thank you.	
1239.073	1239.574	Julien Bouquet	Thank you. We'll be back at 9:05.	
1240.915	1243.518	Peggy Catlin	So moved.	
1244.599	1245.28	Julien Bouquet	I have Caitlin as the mover.	
1245.42	1245.941	Michael Guzman	Second, Guzman.	
1245.961	1250.946	Julien Bouquet	Guzman as the second. I do understand that Director Benker has two amendments	
1251.227	1251.687	Karen Benker	Thank you very much. And I'm glad everybody is now second wind and we're ready to	
1252.578	1265.271	Julien Bouquet	Director Benker, I'm sorry to interrupt. Just so that we keep an order, could we get a	
1265.74	1270.807	Karen Benker	The motion is change the threshold for disproportionate burden and disparate impact	
1271.107	1272.048	Julien Bouquet	So that's the language right there. The first motion is to move to amend the 2025-2028	
1272.669	1275.032	Brett Paglieri	Second, Paglieri.	
1275.072	1289.43	Julien Bouquet	Paglieri is the second. Thank you.	
1291.713	1293.756	Karen Benker	So just to continue a little bit more background, and then we can start, I guess the debate	
1295.542	1299.048	Julien Bouquet	Thank you, Treasurer Benker. So again, the discussion right now is on the motion, this	
1299.309	1301.753	Peggy Catlin	Thank you, Mr. Chair. I'd like to ask GM/CEO Johnson. I heard from someone-- I don't	
1301.814	1303.617	Julien Bouquet	Ms. Johnson. Yes thank you very much relative to the comments that were made--	
1304.519	1310.249	Carl Green	Yes. Thank you so much, General Manager and CEO Johnson. To expand upon the	
1310.269	1313.415	Julien Bouquet	I have Director Ruscha next.	
1313.395	1322.188	Joyann Ruscha	OK. I did have a question, but also Treasurer Benker had her hand up, and it was her	
1322.528	1326.454	Julien Bouquet	Treasurer Benker?	
1327.395	1331.521	Karen Benker	I feel that we are in an extremely unique situation because of the pandemic. So how can	
1331.882	1337.39	Julien Bouquet	Ms. Johnson.	
1337.79	1338.131	Debra Johnson	Yes, thank you very much. Director Benker, that question is better suited for me.	
1340.113	1341.175	Karen Benker	OK. But if I can--	
1342.505	1344.588	Julien Bouquet	Treasurer, yeah.	
1344.608	1345.409	Karen Benker	Some of the issues that you just raised are important. There's no doubt. However, I don't	
1346.351	1353.882	Julien Bouquet	Ms. Johnson.	
1356.365	1360.311	Debra Johnson	Thank you. There's a couple of external factors that play into that quite naturally. When	
1360.713	1369.686	Julien Bouquet	Director Ruscha.	
1370.127	1383.767	Joyann Ruscha	Thank you, sir. So I have a question for legal. So recognizing this has to be submitted	
1386.262	1398.596	Debra Johnson	I will address that question and then I'll ask Mr. Green to expound. I think if anything,	
1399.478	1404.624	Carl Green	Yes. Thank you so much, GM/CEO Johnson. Oh. Apologies. Apologies.	
1405.845	1416.117	Julien Bouquet	Sensitive microphone.	
1416.451	1430.934	Carl Green	Yes. Apologies. But to piggyback off of what GM/CEO Johnson has noted, I would couch	
1430.954	1432.637	Julien Bouquet	Thank you. Director Ruscha? OK. Director Guissinger and then Director Larsen. Oh,	
1433.107	1446.549	Matt Larsen	Thank you. I guess my question is, I looked through a lot of the Title VI updates that were	
1447.511	1454.081	Julien Bouquet	Thank you. Ms. Johnson.	
1454.542	1459.35	Debra Johnson	Thank you very much. The one thing I would share, Director Larsen, is we look at the	
1460.579	1468.37	Julien Bouquet	Director Larsen.	
1469.371	1478.384	Matt Larsen	But it just seems like, when I was reading the documents, that there's always a legitimate	
1478.924	1481.608	Debra Johnson	I'm sorry. Thank you for the question. For me, I've only been here for five years, and I	
1482.128	1492.688	Carl Green	Yeah, I would just highlight, Chairman, if I may. Since January 2023, there was about 270	
1493.249	1496.014	Julien Bouquet	Thank you. Director? OK. I had Director Harwick. And just as a reminder, we're	
1497.397	1500.643	Ian Harwick	Mine will be comments about this but also moving forward as well, because I am in support	
1501.028	1502.05	Julien Bouquet	Thank you, Director. Any further conversation on this amendment? Secretary	
1503.191	1508.7	Chris Nicholson	So this is for our deputy General Counsel. If we were to pass this tonight, what's the	
1509.621	1512.145	Julien Bouquet	In regards to the amendment, Secretary?	
1512.185	1518.295	Chris Nicholson	Yeah.	
1518.68	1543.557	Julien Bouquet	OK. Deputy Counsel.	
1544.566	1546.914	Melanie Snyder	There we go. Excuse me. Thank you, Director Nicholson. I don't have concerns.	
1547.255	1548.479	Julien Bouquet	Secretary.	
1548.499	1552.994	Chris Nicholson	That is all.	
1553.175	1553.476	Julien Bouquet	Yeah, Treasurer Benker.	
1554.058	1554.76	Karen Benker	Here is where I do not understand. In 2019, we had the service. My area, my district, as	
1555.443	1556.145	Julien Bouquet	Ms. Johnson.	
1557.138	1559.422	Debra Johnson	So thank you, Director Benker. What I'm going to say goes back to the previous	
1559.442	1561.746	Julien Bouquet	Thank you. Director Guzman and then Director Guissinger.	
1561.766	1571.162	Michael Guzman	So I would urge us to cleanly pass this through tonight, getting back to the motion	
1571.362	1572.564	Carl Green	Chair, OK for me?	
1572.645	1573.506	Julien Bouquet	Absolutely, Mr. Green.	
1574.167	1579.637	Carl Green	If I'm tracking Director Guzman, I'll try to answer the question from what I hear, and if you	
1580.198	1582.842	Michael Guzman	Thank you. I would just urge a no vote, and let's move on to the policy.	
1583.395	1585.438	Julien Bouquet	All right. Director Guissinger, I'm going to have you as our final comment on this	
1585.558	1590.484	Lynn Guissinger	I'll be super quick. That last explanation that Mr. Green gave helped me in terms of	
1590.504	1606.905	Julien Bouquet	Mr. Green.	
1607.408	1612.899	Carl Green	Yeah, that's a great follow up question. I wouldn't say it's making it harder because when	
1612.959	1624.101	Lynn Guissinger	Thank you.	
1625.009	1627.453	Julien Bouquet	Thank you. All right, let's do a roll call vote. As a reminder, it is the first amendment	
1627.613	1640.816	Karen Benker	Yes.	
1641.878	1650.072	Julien Bouquet	Director Buzek is gone. Director Catlin.	
1650.052	1677.561	Peggy Catlin	No.	
1677.541	1692.317	Julien Bouquet	Director Guissinger.	
1692.417	1699.605	Lynn Guissinger	No.	
1699.645	1700.906	Julien Bouquet	Director Gutschenritter.	
1700.946	1701.667	Chris Gutschenritter	No.	
1701.867	1702.028	Julien Bouquet	Director Guzman.	
1702.048	1702.468	Michael Guzman	No.	
1703.478	1721.897	Julien Bouquet	Director Harwick.	
1722.397	1723.178	Ian Harwick	No.	
1724.439	1725.06	Julien Bouquet	Director Larsen.	
1725.08	1729.144	Matt Larsen	No.	
1729.664	1731.967	Julien Bouquet	Director Nicholson.	
1731.987	1732.287	Chris Nicholson	Yes.	
1733.549	1735.493	Julien Bouquet	First Vice Chair O'Keefe.	
1737.036	1740.702	Patrick O'Keefe	No.	
1741.684	1749.058	Julien Bouquet	Director Paglieri.	
1750.341	1751.102	Brett Paglieri	No.	
1755.908	1757.11	Julien Bouquet	Director Ruscha.	
1757.171	1757.972	Joyann Ruscha	No.	
1757.992	1758.874	Julien Bouquet	Director Whitmore.	
1759.375	1759.796	Troy Whitmore	No.	
1759.816	1774.305	Julien Bouquet	I'm a yes, but the motion will fail. And we have 3 to 10. OK. Moving on. Yes, Director?	
1774.758	1792.084	Karen Benker	I would like to withdraw the next two amendments.	
1792.185	1795.129	Julien Bouquet	Next two amendments?	
1795.43	1799.337	Karen Benker	Yes.	
1799.678	1810.558	Julien Bouquet	OK. The next two amendments have been withdrawn.	
1810.958	1812.601	Chris Nicholson	They were never introduced, so they're not really withdrawn. But now you would	
1813.363	1818.552	Julien Bouquet	Excellent. Back to the main motion at hand. Director O'Keefe.	
1820.337	1832.897	Patrick O'Keefe	So I contemplated a no vote out of principle on this action. There's a few things going	
1833.277	1841.731	Julien Bouquet	Thank you, Director O'Keefe. Any further comments or questions on the main motion?	
1841.891	1843.233	Michael Guzman	I would just like to mention that the Denver City Council unanimously submitted a	
1843.393	1844.415	Julien Bouquet	Thank you, Director Guzman. Director Larsen.	
1844.856	1848.201	Matt Larsen	I'm going to be a no vote, I think it's kind of, like I said, we're constraining our freedom to	
1849.008	1853.458	Julien Bouquet	Thank you, Director Larsen. Secretary Nicholson.	
1855.102	1860.013	Chris Nicholson	So I sat through two committee meetings, a study session, and a town hall, all on	
1860.415	1864.88	Julien Bouquet	Thank you. Any further comments on the main motion? OK. Seeing none, we had	
1865.961	1868.864	Karen Benker	No.	
1869.184	1888.164	Julien Bouquet	Director Catlin.	
1888.885	1889.325	Peggy Catlin	Yes.	
1890.267	1900.961	Julien Bouquet	Director Guissinger.	
1901.602	1914.84	Lynn Guissinger	Yes.	
1915.192	1918.378	Julien Bouquet	Director Gutschenritter.	
1918.418	1937.892	Chris Gutschenritter	Yes.	
1938.445	1946.853	Julien Bouquet	Director Guzman.	
1947.013	1950.717	Michael Guzman	Yes.	
1951.117	1960.907	Julien Bouquet	Director Harwick.	
1960.927	1968.334	Ian Harwick	Yes.	
1969.023	1981.228	Julien Bouquet	Director Larsen.	
1981.869	1983.673	Matt Larsen	No.	
1984.396	1985.957	Julien Bouquet	Director Nicholson.	
1986.738	1992.203	Chris Nicholson	I'm in.	
1992.243	2001.11	Julien Bouquet	First Vice Chair O'Keefe.	
2001.751	2009.618	Patrick O'Keefe	Yes.	
2009.638	2013.441	Julien Bouquet	Director Paglieri.	
2013.691	2018.728	Brett Paglieri	Yes.	
2018.748	2019.671	Julien Bouquet	Director Ruscha.	
2019.691	2021.076	Joyann Ruscha	Yep.	
2022.28	2023.143	Julien Bouquet	Second Vice Chair Whitmore.	
2023.323	2024.046	Troy Whitmore	Yes.	
2025.431	2026.755	Julien Bouquet	I'm also a yes. So the motion, the main motion will pass 11, 2, and 2 absent. Yes. That	
2028.119	2042.977	Michael Guzman	So moved, Guzman.	
2042.997	2046.982	Julien Bouquet	Guzman is the mover. Do I have a second?	
2047.723	2053.911	Troy Whitmore	Second.	
2053.951	2055.072	Julien Bouquet	I have--	
2059.844	2062.427	Joyann Ruscha	Wait. Sir.	
2062.828	2067.734	Julien Bouquet	Yeah?	
2068.855	2069.075	Joyann Ruscha	Oh, wait. Well, I could be wrong. I'm sorry, I forgot we started late. I thought we hit our	
2069.155	2079.448	Julien Bouquet	Oh.	
2079.508	2087.978	Joyann Ruscha	Sorry.	
2088.228	2092.593	Julien Bouquet	Guzman is the mover. Whitmore is the second. Any discussion on it? Yeah, Director	
2092.653	2099.22	Brett Paglieri	I just wanted to say a few quick words about why I will not be voting for this. I was not	
2099.34	2105.888	Julien Bouquet	Any further conversation? Secretary Nicholson.	
2105.908	2108.291	Chris Nicholson	Yeah, so I understand the importance of what we're doing here. I think that these	
2108.331	2117.661	Julien Bouquet	Ms. Johnson, is 51 million enough to make them not suck?	
2118.215	2134.3	Debra Johnson	Yeah. So thank you very much, Mr. Chair, and thank you for the question.	
2134.28	2137.643	Julien Bouquet	My apologies. That was unprofessional.	
2137.723	2140.966	Debra Johnson	Keep it in mind, this is a budget transfer. And full transparency, Director Nicholson	
2140.986	2145.11	Chris Nicholson	24.	
2145.17	2147.712	Debra Johnson	How many?	
2148.033	2158.522	Chris Nicholson	24.	
2158.763	2159.744	Debra Johnson	23. I think I told you that earlier. So the point of the matter is, as we talk about this,	
2160.184	2162.346	Julien Bouquet	Secretary.	
2162.326	2175.021	Chris Nicholson	I really appreciate it and I look forward to you coming back often to update us on how	
2175.062	2177.104	Speaker	Yes. And what white.	
2177.284	2184.653	Julien Bouquet	Director Guzman.	
2185.374	2186.215	Michael Guzman	Just really quickly. With regards to this, moving this money from the unrestricted fund	
2186.315	2186.475	Julien Bouquet	Thank you, Director. Any further discussion on this item? All right. There is a no-- oh,	
2186.515	2186.856	Karen Benker	Yes.	
2187.236	2190.24	Julien Bouquet	Director Catlin.	
2190.372	2193.095	Peggy Catlin	Yes.	
2193.555	2210.174	Julien Bouquet	Director Guissinger.	
2210.194	2215.98	Lynn Guissinger	Yes.	
2216.14	2217.882	Julien Bouquet	Director Gutschenritter.	
2218.081	2219.102	Chris Gutschenritter	Yes.	
2219.162	2222.767	Julien Bouquet	Director Guzman.	
2223.067	2223.527	Michael Guzman	Yes.	
2225.009	2225.33	Julien Bouquet	Director Harwick.	
2225.35	2225.41	Ian Harwick	Yep.	
2225.43	2226.01	Julien Bouquet	Director Larsen.	
2227.752	2228.193	Matt Larsen	Yes.	
2228.213	2234.761	Julien Bouquet	Director Nicholson.	
2234.881	2245.253	Chris Nicholson	Nicholson go brr.	
2245.57	2251.456	Peggy Catlin	What?	
